X,Y,OBJECTID,MSLINK,MAPID,STATION_ID,LOCATION,COUNTY,RAIL_ID,GMROTATION,LATITUDE,LONGITUDE,ID,ATIS_ID
-74.0354595887883,40.1505665610988,63,429,22855,Spring Lake, ,Monmouth,"North Jersey Coast Line",89.999795,40.15057,-74.03546,2,RAIL0141
-74.0272957770778,40.180589000383,64,430,22855,Belmar, ,Monmouth,"North Jersey Coast Line",89.999795,40.18059,-74.0273,3,RAIL0015
-74.0189564923476,40.2037752557244,65,431,22855,Bradley Beach, ,Monmouth,"North Jersey Coast Line",89.999795,40.20378,-74.01896,4,RAIL0022
-74.0147875303196,40.2153602233965,66,432,22855,Asbury Park, ,Monmouth,"North Jersey Coast Line",89.999795,40.21536,-74.01479,5,RAIL0008
-74.0067594065207,40.2376575015933,67,433,22855,Allenhurst, ,Monmouth,"North Jersey Coast Line",89.999795,40.23766,-74.00676,6,RAIL0004
-73.9975893955335,40.2653237324052,68,434,22855,Elberon, ,Monmouth,"North Jersey Coast Line",89.999795,40.26532,-73.99759,7,RAIL0040
-73.9883350560174,40.2971470083287,69,435,22855,Long Branch, ,Monmouth,"North Jersey Coast Line",89.999795,40.29715,-73.98834,8,RAIL0074
-74.0151901082363,40.3133940336087,70,436,22855,Monmouth Park, ,Monmouth,"North Jersey Coast Line",89.999795,40.31339,-74.01519,9,RAIL0162
-74.0410534159817,40.3267123159216,71,437,22855,Little Silver, ,Monmouth,"North Jersey Coast Line",89.999795,40.32671,-74.04105,10,RAIL0073
-74.0745510883614,40.3483126249286,72,438,22855,Red Bank, ,Monmouth,"North Jersey Coast Line",89.999795,40.34831,-74.07455,11,RAIL0130
-74.1161320921217,40.3897802826348,73,439,22855,Middletown, ,Monmouth,"North Jersey Coast Line",89.999795,40.38978,-74.11613,12,RAIL0085
-74.1903943664062,40.4153802679859,74,440,22855,Hazlet, ,Monmouth,"North Jersey Coast Line",89.999795,40.41538,-74.19039,13,RAIL0059
-74.2236997007799,40.4201684672019,75,441,22855,Aberdeen-Matawan, ,Monmouth,"North Jersey Coast Line",89.999795,40.42017,-74.2237,14,RAIL0082
-74.2801372889041,40.4843101030297,76,442,22855,South Amboy, ,Middlesex,"North Jersey Coast Line",89.999795,40.48431,-74.28014,15,RAIL0139
-74.2737031333922,40.5093734916942,77,443,22855,Perth Amboy, ,Middlesex,"North Jersey Coast Line",89.999795,40.50937,-74.2737,16,RAIL0119
-74.2777464475399,40.5566095547881,78,444,22855,Woodbridge, ,Middlesex,"North Jersey Coast Line",89.999795,40.55661,-74.27775,17,RAIL0158
-74.2774643688849,40.577688392806,79,445,22855,Avenel, ,Middlesex,"North Jersey Coast Line",89.999795,40.57769,-74.27746,18,RAIL0011
-74.2768157283625,40.606390880036,80,446,22855,Rahway, ,Union,"NEC / NJCL",89.999795,40.60639,-74.27682,19,RAIL0127
-74.2517685859508,40.629487801222,81,447,22855,Linden, ,Union,"NEC / NJCL",89.999795,40.62949,-74.25177,20,RAIL0070
-74.2151675411484,40.6678598872249,82,448,22855,Elizabeth, ,Union,"NEC / NJCL",89.999795,40.66786,-74.21517,21,RAIL0041
-74.2061589108044,40.6802692679133,83,449,22855,North Elizabeth, ,Union,"NEC / NJCL",89.999795,40.68027,-74.20616,22,RAIL0109
-74.1907136329272,40.704415301326,84,450,22855,Newark Airport, ,Essex,"NEC / NJCL",89.999795,40.70442,-74.19071,23,RAIL0164
-74.164544078146,40.7342564246952,85,451,22855,Newark Penn Station, ,Essex,"NEC / NJCL / RVL",89.999795,40.73426,-74.16454,24,RAIL0107
-74.8958569999999,40.6668850032412,86,452,22855,High Bridge, ,Hunterdon,"Raritan Valley Line",89.999795,40.66689,-74.89586,25,RAIL0060
-74.8357630688099,40.6369153469666,87,453,22855,Lebanon, ,Hunterdon,"Raritan Valley Line",89.999795,40.63692,-74.83576,26,RAIL0068
-74.7706586700609,40.6156178792626,88,454,22855,White House, ,Hunterdon,"Raritan Valley Line",89.999795,40.61562,-74.77066,27,RAIL0157
-74.6837924953267,40.5920274910767,89,455,22855,North Branch, ,Somerset,"Raritan Valley Line",89.999795,40.59203,-74.68379,28,RAIL0108
-74.6343650407134,40.5709948386418,90,456,22855,Raritan, ,Somerset,"Raritan Valley Line",89.999795,40.57099,-74.63437,29,RAIL0129
-74.6139713152234,40.5660734066633,91,457,22855,Somerville, ,Somerset,"Raritan Valley Line",89.999795,40.56607,-74.61397,30,RAIL0138
-74.5517385848671,40.5599125164504,92,458,22855,Bridgewater, ,Somerset,"Raritan Valley Line",89.999795,40.55991,-74.55174,31,RAIL0024
-74.5306120746868,40.5609295498597,93,459,22855,Bound Brook, ,Somerset,"Raritan Valley Line",89.999795,40.56093,-74.53061,32,RAIL0021
-74.4630380926332,40.5908680707058,94,460,22855,Dunellen, ,Middlesex,"Raritan Valley Line",89.999795,40.59087,-74.46304,33,RAIL0036
-74.4201561655739,40.6184270726522,95,461,22855,Plainfield, ,Union,"Raritan Valley Line",89.999795,40.61843,-74.42016,34,RAIL0120
-74.4034388200449,40.6291584191267,96,462,22855,Netherwood, ,Union,"Raritan Valley Line",89.999795,40.62916,-74.40344,35,RAIL0102
-74.3852225663677,40.6409229895053,97,463,22855,Fanwood, ,Union,"Raritan Valley Line",89.999795,40.64092,-74.38522,36,RAIL0044
-74.3476244054413,40.6494552984242,98,464,22855,Westfield, ,Union,"Raritan Valley Line",89.999795,40.64946,-74.34762,37,RAIL0155
-74.3248336890229,40.6525657566053,99,465,22855,Garwood, ,Union,"Raritan Valley Line",89.999795,40.65257,-74.32483,38,RAIL0047
-74.3028777961727,40.6555712675009,100,466,22855,Cranford, ,Union,"Raritan Valley Line",89.999795,40.65557,-74.30288,39,RAIL0032
-74.6660710099684,40.7200574273093,101,467,22855,Gladstone, ,Somerset,"Gladstone Branch/M&E",89.999795,40.72006,-74.66607,40,RAIL0049
-74.6584612705705,40.7087796851353,102,468,22855,Peapack, ,Somerset,"Gladstone Branch/M&E",89.999795,40.70878,-74.65846,41,RAIL0117
-74.6337853871852,40.6857156719416,103,469,22855,Far Hills, ,Somerset,"Gladstone Branch/M&E",89.999795,40.68572,-74.63379,42,RAIL0045
-74.5710343487555,40.716838707841,104,470,22855,Bernardsville, ,Somerset,"Gladstone Branch/M&E",89.999795,40.71684,-74.57103,43,RAIL0018
-74.5552721641783,40.7114051191518,105,471,22855,Basking Ridge, ,Somerset,"Gladstone Branch/M&E",89.999795,40.71141,-74.55527,44,RAIL0012
-74.54949887817,40.6848776000221,106,472,22855,Lyons, ,Somerset,"Gladstone Branch/M&E",89.999795,40.68488,-74.5495,45,RAIL0076
-74.5235951423013,40.6735240387043,107,473,22855,Millington, ,Morris,"Gladstone Branch/M&E",89.999795,40.67352,-74.5236,46,RAIL0088
-74.4937780748976,40.6745767068504,108,474,22855,Stirling, ,Morris,"Gladstone Branch/M&E",89.999795,40.67458,-74.49378,47,RAIL0143
-74.4682915183382,40.6782603515349,109,475,22855,Gillette, ,Morris,"Gladstone Branch/M&E",89.999795,40.67826,-74.46829,48,RAIL0048
-74.4032205033229,40.6950281175545,110,476,22855,Murray Hill, ,Union,"Gladstone Branch/M&E",89.999795,40.69503,-74.40322,49,RAIL0099
-74.4426705913741,40.6823332965453,111,477,22855,Berkeley Heights, ,Union,"Gladstone Branch/M&E",89.999795,40.68233,-74.44267,50,RAIL0017
-74.3864443196489,40.712114139257,112,478,22855,New Providence, ,Union,"Gladstone Branch/M&E",89.999795,40.71211,-74.38644,51,RAIL0104
-74.3577497815265,40.7165376067261,113,479,22855,Summit, ,Union,"Morristown Line/M&E",89.999795,40.71654,-74.35775,52,RAIL0145
-74.3237971124461,40.7252643436754,114,480,22855,Short Hills, ,Essex,"Morristown Line/M&E",89.999795,40.72526,-74.3238,53,RAIL0136
-74.3038106341528,40.725634815795,115,481,22855,Millburn, ,Essex,"Morristown Line/M&E",89.999795,40.72563,-74.30381,54,RAIL0087
-74.2754039995942,40.7311600031325,116,482,22855,Maplewood, ,Essex,"Morristown Line/M&E",89.999795,40.73116,-74.2754,55,RAIL0081
-74.2605809446542,40.7458997961396,117,483,22855,South Orange, ,Essex,"Morristown Line/M&E",89.999795,40.7459,-74.26058,56,RAIL0140
-74.2529851384527,40.7554169966979,118,484,22855,Mountain Station, ,Essex,"Morristown Line/M&E",89.999795,40.75542,-74.25299,57,RAIL0097
-74.2437235989643,40.7668831495386,119,485,22855,Highland Avenue, ,Essex,"Morristown Line/M&E",89.999795,40.76688,-74.24372,58,RAIL0061
-74.2331300358218,40.7718887706512,120,486,22855,Orange, ,Essex,"Morristown Line/M&E",89.999795,40.77189,-74.23313,59,RAIL0112
-74.2192680755606,40.7654944353208,121,487,22855,Brick Church, ,Essex,"Morristown Line/M&E",89.999795,40.76549,-74.21927,60,RAIL0023
-74.2109607212596,40.7610353573967,122,488,22855,East Orange, ,Essex,"Morristown Line/M&E",89.999795,40.76104,-74.21096,61,RAIL0037
-74.1718988156771,40.7476191901744,123,489,22855,Newark Broad Street, ,Essex,"Morris & Essex Line",89.999795,40.74762,-74.1719,62,RAIL0106
-73.9923569995752,40.7500530029446,124,492,22855,New York Penn Station, ,New York,"NEC / NJCL / M&E",89.999795,40.75005,-73.99236,63,RAIL0105
-74.7306454409337,40.9073843281251,125,493,22855,Mount Olive, ,Morris,"Montclair-Boonton Line/M&E",89.999795,40.90738,-74.73065,64,RAIL0093
-74.8347894636622,40.8520234218444,126,494,22855,Hackettstown, ,Warren,"Montclair-Boonton Line/M&E",89.999795,40.85202,-74.83479,65,RAIL0054
-74.7072624687872,40.8975605603725,127,495,22855,Netcong, ,Morris,"Montclair-Boonton Line/M&E",89.999795,40.89756,-74.70726,66,RAIL0101
-74.6657284348187,40.9043337602957,128,496,22855,Lake Hopatcong, ,Morris,"Montclair-Boonton Line/M&E",89.999795,40.90433,-74.66573,67,RAIL0067
-74.5558053443405,40.8834228005227,129,497,22855,Dover, ,Morris,"Montclair-Boonton Line/M&E",89.999795,40.88342,-74.55581,68,RAIL0035
-74.4815107601128,40.8838957980535,130,498,22855,Denville, ,Morris,"Montclair-Boonton Line/M&E",89.999795,40.8839,-74.48151,69,RAIL0034
-74.4819261659591,40.8758689243123,131,499,22855,Mount Tabor, ,Morris,"Morristown Line/M&E",89.999795,40.87587,-74.48193,70,RAIL0094
-74.4781998673294,40.8287181628139,132,500,22855,Morris Plains, ,Morris,"Morristown Line/M&E",89.999795,40.82872,-74.4782,71,RAIL0091
-74.474156026179,40.7972175393589,133,501,22855,Morristown, ,Morris,"Morristown Line/M&E",89.999795,40.79722,-74.47416,72,RAIL0092
-74.4434040253748,40.77902564292,134,502,22855,Convent Station, ,Morris,"Morristown Line/M&E",89.999795,40.77903,-74.4434,73,RAIL0030
-74.4151298789401,40.7570724048685,135,503,22855,Madison, ,Morris,"Morristown Line/M&E",89.999795,40.75707,-74.41513,74,RAIL0077
-74.3849629617706,40.7401922172979,136,504,22855,Chatham, ,Morris,"Morristown Line/M&E",89.999795,40.74019,-74.38496,75,RAIL0027
-74.4335781747923,40.8859649815995,137,505,22855,Mountain Lakes, ,Morris,"Montclair-Boonton Line/M&E",89.999795,40.88596,-74.43358,76,RAIL0096
-74.4077304325128,40.9033837713449,138,506,22855,Boonton, ,Morris,"Montclair-Boonton Line/M&E",89.999795,40.90338,-74.40773,77,RAIL0020
-74.343771458885,40.9228496114213,139,507,22855,Towaco, ,Morris,"Montclair-Boonton Line/M&E",89.999795,40.92285,-74.34377,78,RAIL0147
-74.3018246280035,40.9241443689684,140,508,22855,Lincoln Park, ,Morris,"Montclair-Boonton Line/M&E",89.999795,40.92414,-74.30182,79,RAIL0069
